"","DraftIndex","Pk","Tm","Player","College","Yrs","G","MP...8","PTS...9","TRB...10","AST...11","FG%","3P%","FT%","MP...15","PTS...16","TRB...17","AST...18","WS","WS/48","BPM","VORP","LBPY","PickLBPY","YearLBPY","DraftLBPY"
"251",5,11,"IND","Jerryd Bayless","Arizona","11",586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-1.6,1.1,-1.931,-1.06980657909979,-1.11785747898729,-2.18766405808707
"252",5,12,"SAC","Jason Thompson","Rider University","8",588,14819,5210,3880,635,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-2.6,-2.4,-0.485714285714286,0.0759089572380141,0.0661420485185387,0.142051005756553
"253",5,13,"POR","Brandon Rush","Kansas","9",481,10564,3250,1413,468,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,-1.4,1.6,-2.3325,-1.19025600893841,-1.4467722434486,-2.63702825238701
"254",5,14,"GSW","Anthony Randolph","LSU","6",252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-1.6,0.4,-0.7275,0.428664624800376,-0.131932400458788,0.296732224341588
"255",5,15,"PHO","Robin Lopez","Stanford","16",992,20937,8326,4660,819,0.537,0.297,0.743,21.1,8.4,4.7,0.8,49.6,0.114,-1.1,4.6,-0.980666666666667,-0.284747112153238,-0.339330294695707,-0.624077406848945
"256",5,16,"PHI","Marreese Speights","Florida","10",705,10640,5592,2875,461,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,-2.2,-0.6,-1.17666666666667,-0.206838583972568,-0.499896406362999,-0.706734990335567
"257",5,17,"TOR","Roy Hibbert","Georgetown","9",662,16389,6611,4173,885,0.465,0.25,0.755,24.8,10,6.3,1.3,35.9,0.105,-1.1,3.5,0.07625,0.655835069761832,0.526511539605427,1.18234660936726
"258",5,18,"WAS","JaVale McGee","Nevada","16",909,14676,6907,4577,386,0.578,0.192,0.604,16.1,7.6,5,0.4,43.7,0.143,0,7.3,0.124,1.00215415192536,0.565629048952943,1.5677832008783
"259",5,19,"CLE","J.J. Hickson","NC State","8",534,11925,5081,3639,449,0.505,0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-1.8,0.5,NA,NA,NA,NA
"260",5,20,"CHA","Alexis Ajinca",NA,"7",293,3905,1553,1150,143,0.503,0.286,0.797,13.3,5.3,3.9,0.5,7.5,0.093,-2.8,-0.8,-0.746666666666667,0.260441668402786,-0.147634018521491,0.112807649881295
"261",5,21,"NOP","Ryan Anderson","California","12",649,16769,8001,3413,586,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,0.134,1,12.8,0.247272727272727,1.14320579332768,0.666615898406027,1.8098216917337
"262",5,22,"ORL","Courtney Lee","Western Kentucky","12",811,21938,7765,2127,1353,0.451,0.388,0.853,27.1,9.6,2.6,1.7,39.3,0.086,-0.6,7.9,-1.10545454545455,-0.336175153835332,-0.441558378778253,-0.777733532613585
"263",5,23,"UTA","Kosta Koufos","Ohio State","11",686,11271,3913,3452,359,0.534,0,0.582,16.4,5.7,5,0.5,28.3,0.12,-1.3,2,-0.43,0.57892779806984,0.111784019036209,0.690711817106049
"264",5,24,"OKC","Serge Ibaka",NA,"14",919,25127,11028,6513,749,0.513,0.359,0.757,27.3,12,7.1,0.8,73,0.139,0.5,15.7,0.807142857142857,1.2632408001421,1.12526982591576,2.38851062605787
"265",5,25,"HOU","Nicolas Batum",NA,"16",1053,31269,10947,5254,3464,0.437,0.366,0.832,29.7,10.4,5,3.3,70.4,0.108,1.5,27.8,0.15,0.88087231999072,0.586928635194523,1.46780095518524
"266",5,26,"SAS","George Hill","IUPUI","15",915,24501,9545,2731,2807,0.457,0.38,0.806,26.8,10.4,3,3.1,71,0.139,1.1,19.4,1.15142857142857,2.74561252371076,1.40731379757624,4.15292632128701
"267",5,27,"NOP","Darrell Arthur","Kansas","9",503,8945,3282,1768,409,0.444,0.352,0.765,17.8,6.5,3.5,0.8,12.3,0.066,-2.2,-0.4,-1.22375,-0.318826213227021,-0.538467772473552,-0.857293985700573
"268",5,28,"MEM","Donte Greene","Syracuse","4",253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-2.8,-0.9,-0.92,0.239747115254996,-0.289631260132021,-0.0498841448770255
"269",5,29,"DET","D.J. White","Indiana","6",138,2111,810,437,80,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-2.1,0,NA,NA,NA,NA
"270",5,30,"BOS","J.R. Giddens","New Mexico","2",38,247,73,54,13,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.3,-0.1,-1.83,-0.660060248611498,-1.03511677858731,-1.6951770271988
"271",5,31,"MIN","Nikola Pekovic",NA,"6",271,6744,3405,1807,199,0.518,NA,0.76,24.9,12.6,6.7,0.7,18.8,0.134,-0.7,2.2,-0.241666666666667,1.1997448975169,0.26606948347842,1.46581438099532
"272",5,32,"OKC","Walter Sharpe","UAB","1",8,20,8,3,0,0.364,0,0,2.5,1,0.4,0,-0.1,-0.131,-10.1,0,NA,NA,NA,NA
"273",5,33,"POR","Joey Dorsey","Memphis","4",130,1488,344,513,55,0.534,0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,-2.7,-0.3,-0.13,0.640985037124931,0.35754847566982,0.998533512794751
"274",5,34,"MIN","Mario Chalmers","Kansas","9",646,17245,5743,1585,2412,0.417,0.351,0.793,26.7,8.9,2.5,3.7,32.3,0.09,-0.6,5.9,0.375,1.53674189720228,0.77125197766973,2.30799387487201
"275",5,35,"LAC","DeAndre Jordan","Texas A&M","16",1055,27176,9274,10501,992,0.674,0.154,0.475,25.8,8.8,10,0.9,97,0.171,1.2,22,1.046,1.2078531440191,1.32094514567357,2.52879828969267
"276",5,36,"POR","Omer Aşık",NA,"8",471,9216,2479,3362,280,0.528,0,0.551,19.6,5.3,7.1,0.6,20.9,0.109,-1.9,0.1,NA,NA,NA,NA
"277",5,37,"MIL","Luc Mbah a Moute","UCLA","12",689,16038,4380,2800,588,0.454,0.334,0.659,23.3,6.4,4.1,0.9,26,0.078,-1.5,2,-1.17909090909091,0.225904315466373,-0.501882381770139,-0.275978066303767
"278",5,38,"CHA","Kyle Weaver","Washington State","3",73,1379,363,158,119,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051,-1.1,0.3,-1.13,0.0117710409738122,-0.461666379775548,-0.449895338801736
"279",5,39,"CHI","Sonny Weems","Arkansas","4",183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.8,-2.65666666666667,-1.28642895781361,-1.71233439242214,-2.99876335023575
